ancienne_url,nouvelle_url,code,silo,motif
/villes/agence-seo-ambares-et-lagrave,/consultant-seo-lormont,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-ambes,/consultant-seo-lormont,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-andernos-les-bains,/consultant-seo-ares,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-arcachon,/consultant-seo-arcachon,301,agence-seo,ville conservée
/villes/agence-seo-ares,/consultant-seo-ares,301,agence-seo,ville conservée
/villes/agence-seo-arsac,/consultant-seo-le-taillan-medoc,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-artigues-pres-bordeaux,/consultant-seo-floirac,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-audenge,/consultant-seo-ares,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-avensan,/consultant-seo-le-taillan-medoc,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-bassens,/consultant-seo-lormont,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-bazas,/consultant-seo-bazas,301,agence-seo,ville conservée
/villes/agence-seo-begles,/consultant-seo-begles,301,agence-seo,ville conservée
/villes/agence-seo-belin-beliet,/consultant-seo-cestas,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-biganos,/consultant-seo-la-teste-de-buch,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-blanquefort,/consultant-seo-bruges,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-blaye,/consultant-seo-libourne,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-bordeaux,/consultant-seo-bordeaux,301,agence-seo,ville conservée
/villes/agence-seo-bouliac,/consultant-seo-floirac,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-bourg,/consultant-seo-libourne,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-bruges,/consultant-seo-bruges,301,agence-seo,ville conservée
/villes/agence-seo-cadaujac,/consultant-seo-villenave-dornon,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-cadillac,/consultant-seo-langon,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-canejan,/consultant-seo-cestas,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-carbon-blanc,/consultant-seo-lormont,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-carignan-de-bordeaux,/consultant-seo-floirac,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-castelnau-de-medoc,/consultant-seo-le-taillan-medoc,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-castillon-la-bataille,/consultant-seo-libourne,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-castres-gironde,/consultant-seo-villenave-dornon,301,agence-seo,ville fusionnée → commune limitrophe conservée
/villes/agence-seo-cenon,/consultant-seo-lormont,301,agence-seo,ville fusionnée → commune limitrophe conservée
